Grenada,Population,SNA93 Table Code,Sub Group,GDP,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Year,Value,Value,Year,Item,Value.E,Expenditure ,Value,Year,Industry,Value_I,Year,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,OID,Year,Description,Magnitude,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
,,1.3,,GROSS DOMESTIC PRODUCT,B.1*g,2006,100,EC dollar,1993,Western calendar year,1886490000,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),467676166,1992,Construction (ISIC F),91961966.32,,,,,,,,,32878BCDZF...,1999,"CAPITAL ACCOUNT, N.I.E.",MILLIONS OF US$,31181500,2019,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Import,9290.741,10516.207,Weight in kilograms,10516.207
,,1.3,,"Plus: Compensation of employees - from and to the rest of the world, net",D.1,2006,100,EC dollar,1993,Western calendar year,2193790,,,,,,,General government final consumption expenditure,103676281,1992,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",186580804.5,,,,,,,,,32878BBDZF...,1999,CAPITAL ACCOUNT:  DEBIT,MILLIONS OF US$,-1918520,2019,"Iron or non-alloy steel; flat-rolled, width 600mm or more, electrolytically plated or coated with zinc",Export,50.37,30,Weight in kilograms,30
,,1.3,,Plus: Compensation of employees - from the rest of the world,D.1,2006,100,EC dollar,1993,Western calendar year,2193790,,,,,,,Gross capital formation,195358639,1992,"Transport, storage and communication (ISIC I)",135077847.3,,,,,,,,,32878BADZF...,1999,"CAPITAL ACCOUNT, N.I.E.:  CREDIT",MILLIONS OF US$,33100000,2019,"Iron or non-alloy steel; flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)",Import,125452.973,69991,Weight in kilograms,69991
,,1.3,,"Plus: Property income - from and to the rest of the world, net",D.4,2006,100,EC dollar,1993,Western calendar year,-80182870,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),195358639,1992,Other Activities (ISIC J-P),490759503.8,,,,,,,,,32878ALDZF...,1999,"CURRENT ACCOUNT, N.I.E.",MILLIONS OF US$,-55748100,2019,"Iron or non-alloy steel; flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)",Export,1207.408,363,Weight in kilograms,363
,,1.3,,Plus: Property income - from the rest of the world,D.4,2006,100,EC dollar,1993,Western calendar year,33596574,,,,,,,Exports of goods and services,218598389,1992,Total Value Added,1133328102,,,,,,,,,32878AKDZF...,1999,CURRENT TRANSFERS: DEB,MILLIONS OF US$,-7570370,2019,"Iron or non-alloy steel; flat-rolled, width 600mm or more, (not corrugated), plated or coated with zinc (not electrolytically)",Import,53910.745,45805,Weight in kilograms,45805
,,1.3,,Less:  Property income - to the rest of the world,D.4,2006,100,EC dollar,1993,Western calendar year,113779444,,,,,,,Imports of goods and services,304352903,1991,"Agriculture, hunting, forestry, fishing (ISIC A-B)",127488039,,,,,,,,,32878AJDZF...,1999,"CURRENT TRANSFERS, N.I.E. : CRE",MILLIONS OF US$,26392600,2019,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with aluminium zinc-alloys",Import,1208.889,700,Weight in kilograms,700
,,1.3,,"Sum of Compensation of employees and property income - from and to the rest of the world, net",D.1+D.4,2006,100,EC dollar,1993,Western calendar year,-77989080,,,,,,,Gross Domestic Product (GDP),680956572,1991,"Mining, Manufacturing, Utilities (ISIC C-E)",93290481.61,,,,,,,,,32878AHDZF...,1999,INCOME: DEBIT,MILLIONS OF US$,-30629600,2019,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with aluminium, other than plated or coated with aluminium zinc-alloys",Import,9870.742,9402,Weight in kilograms,9402
,,1.3,,Plus: Sum of Compensation of employees and property income - from the rest of the world,D.1+D.4,2006,100,EC dollar,1993,Western calendar year,35790364,,,,,,,Final consumption expenditure,588355903,1991,Manufacturing (ISIC D),56223983.36,,,,,,,,,32878AIDZF...,1999,"BALANCE ON GOODS, SERV. & INC.",MILLIONS OF US$,-74570400,2019,"Iron or non-alloy steel; flat-rolled, width 600mm or more, painted, varnished or coated with plastics",Import,163292.976,157371,Weight in kilograms,157371
,,1.3,,Less: Sum of Compensation of employees and property income - to the rest of the world,D.1+D.4,2006,100,EC dollar,1993,Western calendar year,113779444,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),462532094,1991,Construction (ISIC F),97942801.56,,,,,,,,,32878AFDZF...,1999,BALANCE ON GOODS AND SERVICES,MILLIONS OF US$,-48270400,2019,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with materials n.e.c. in heading no. 7210",Import,31698.151,37228,Weight in kilograms,37228
,,1.3,,Equals: GROSS NATIONAL INCOME,B.5*g,2006,100,EC dollar,1993,Western calendar year,1808500000,,,,,,,General government final consumption expenditure,125823809,1991,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",173884299.6,,,,,,,,,32878AGDZF...,1999,INCOME: CREDIT,MILLIONS OF US$,4329630,2019,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width less than 600mm, 4.75mm thick or more, excluding those of item no. 7211.13",Import,11.111,6,Weight in kilograms,6
,,1.3,,"Plus: Current transfers - from and to the rest of the world, net",D5+D61+D62,2006,100,EC dollar,1993,Western calendar year,114134220,,,,,,,Gross capital formation,291821700,1991,"Transport, storage and communication (ISIC I)",131032049.6,,,,,,,,,32878ADDZF...,1999,SERVICES: CREDIT,MILLIONS OF US$,143722000,2019,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width less than 600mm, less than 4.75mm thick, excluding those of item no. 7211.13",Import,35.556,2,Weight in kilograms,2
,,1.3,,Plus:  Current transfers - from the rest of the world,D.5-D.7,2006,100,EC dollar,1993,Western calendar year,148356830,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),267198876,1991,Other Activities (ISIC J-P),497581927.2,,,,,,,,,32878AEDZF...,1999,SERVICES: DEBIT,MILLIONS OF US$,-81714800,2019,"Iron or non-alloy steel; flat-rolled, n.e.c. in heading no. 7211, width less than 600mm",Import,1653.333,1144,Weight in kilograms,1144
,,1.3,,Less:  Current transfers - to the rest of the world,D.5-D.7,2006,100,EC dollar,1993,Western calendar year,34222610,,,,,,,Changes in inventories,24622824,1991,Total Value Added,1126451591,,,,,,,,,32878ABDZF...,1999,GOODS IMPORTS: F.O.B,MILLIONS OF US$,-184574000,2019,"Iron or non-alloy steel; flat-rolled, of a width less than 600mm, electrolytically plated or coated with zinc",Import,3310.741,700,Weight in kilograms,700
,,1.3,,Equals: GROSS NATIONAL DISPOSABLE INCOME,B.6g,2006,100,EC dollar,1993,Western calendar year,1922640000,,,,,,,Exports of goods and services,303131706,1990,"Agriculture, hunting, forestry, fishing (ISIC A-B)",130547262.9,,,,,,,,,32878ACDZF...,1999,TRADE BALANCE,MILLIONS OF US$,-110278000,2019,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated with zinc (not electrolytically)",Import,18235.187,3895,Weight in kilograms,3895
,,1.3,,Less:  Final consumption expenditure / Actual final consumption,P.3/P.4,2006,100,EC dollar,1993,Western calendar year,1862740000,,,,,,,Imports of goods and services,515076493,1990,"Mining, Manufacturing, Utilities (ISIC C-E)",87092840.3,,,,,,,,,32878AADZF...,1999,GOODS EXPORTS: F.O.B.,MILLIONS OF US$,74296300,2019,"Iron or non-alloy steel; flat-rolled, width less than 600mm, painted, varnished or coated with plastics",Import,16952.964,19574,Weight in kilograms,19574
,,1.3,,"Equals: SAVING, GROSS",B.8g,2006,100,EC dollar,1993,Western calendar year,59895140,,,,,,,Gross Domestic Product (GDP),668232816,1990,Manufacturing (ISIC D),53137176.5,,,,,,,,,32878AADZF...,1998,GOODS EXPORTS: F.O.B.,MILLIONS OF US$,45948100,2019,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated, (excluding tin, zinc or plastic)",Import,3072.222,323,Weight in kilograms,323
,,1.3,,"Plus: Capital transfers - from and to the rest of the world, net",D.9,2006,100,EC dollar,1993,Western calendar year,166751710,,,,,,,Final consumption expenditure,544176195,1990,Construction (ISIC F),91459152.57,,,,,,,,,32878ACDZF...,1998,TRADE BALANCE,MILLIONS OF US$,-137063000,2019,"Iron or non-alloy steel; flat-rolled, width less than 600mm, clad",Import,45025.189,50347,Weight in kilograms,50347
,,1.3,,Plus: Capital transfers - from the rest of the world,D.9,2006,100,EC dollar,1993,Western calendar year,172254150,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),413639883,1990,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",166987926.3,,,,,,,,,32878ABDZF...,1998,GOODS IMPORTS: F.O.B,MILLIONS OF US$,-183011000,2019,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, containing indentations, ribs, grooves or other deformations produced during the rolling process",Import,62.593,1,Weight in kilograms,1
,,1.3,,Less: Capital transfers - to the rest of the world,D.9,2006,100,EC dollar,1993,Western calendar year,5502440,,,,,,,General government final consumption expenditure,130536312,1990,"Transport, storage and communication (ISIC I)",118561616.9,,,,,,,,,32878AEDZF...,1998,SERVICES: DEBIT,MILLIONS OF US$,-70159300,2019,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring less than 14mm in diameter",Import,17938.89,24000,Weight in kilograms,24000
,,1.3,,Less: Gross capital formation,P.5,2006,100,EC dollar,1993,Western calendar year,671990000,,,,,,,Gross capital formation,268023564,1990,Other Activities (ISIC J-P),493302519.3,,,,,,,,,32878ADDZF...,1998,SERVICES: CREDIT,MILLIONS OF US$,119770000,2019,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7213, of circular cross-section measuring 14mm or more in diameter",Import,67811.487,93000,Weight in kilograms,93000
,,1.3,,Equals: NET LENDING (+) / NET BORROWING (-) OF THE NATION,B.9,2006,100,EC dollar,1993,Western calendar year,-445343150,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),247995430,1990,Total Value Added,1092848672,,,,,,,,,32878AGDZF...,1998,INCOME: CREDIT,MILLIONS OF US$,4133330,2019,"Iron or non-alloy steel; bars and rods, forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling",Import,2795882.816,3571576,Weight in kilograms,3571576
,,1.3,,GROSS DOMESTIC PRODUCT,B.1*g,2005,100,EC dollar,1993,Western calendar year,1877500000,,,,,,,Changes in inventories,20028134,1989,"Agriculture, hunting, forestry, fishing (ISIC A-B)",133015035.9,,,,,,,,,32878AFDZF...,1998,BALANCE ON GOODS AND SERVICES,MILLIONS OF US$,-87451900,2019,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",Import,684587.092,929528,Weight in kilograms,929528
,,1.3,,"Plus: Compensation of employees - from and to the rest of the world, net",D.1,2005,100,EC dollar,1993,Western calendar year,87830,,,,,,,Exports of goods and services,283103571,1989,"Mining, Manufacturing, Utilities (ISIC C-E)",82486374.79,,,,,,,,,32878AIDZF...,1998,"BALANCE ON GOODS, SERV. & INC.",MILLIONS OF US$,-110696000,2019,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, including those twisted after rolling, of free-cutting steel",Import,269589.281,373819,Weight in kilograms,373819
,,1.3,,Plus: Compensation of employees - from the rest of the world,D.1,2005,100,EC dollar,1993,Western calendar year,87830,,,,,,,Imports of goods and services,457819591,1989,Manufacturing (ISIC D),50542223.24,,,,,,,,,32878AHDZF...,1998,INCOME: DEBIT,MILLIONS OF US$,-27377800,2019,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, of rectangular (other than square) cross-section",Import,18265.187,10500,Weight in kilograms,10500
,,1.3,,"Plus: Property income - from and to the rest of the world, net",D.4,2005,100,EC dollar,1993,Western calendar year,-76449608,,,,,,,Gross Domestic Product (GDP),637483739,1989,Construction (ISIC F),94661281.09,,,,,,,,,32878AJDZF...,1998,"CURRENT TRANSFERS, N.I.E. : CRE",MILLIONS OF US$,34188900,2019,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, other than of rectangular cross-section",Import,61348.894,85352,Weight in kilograms,85352
,,1.3,,Plus: Property income - from the rest of the world,D.4,2005,100,EC dollar,1993,Western calendar year,30783110,,,,,,,Final consumption expenditure,504237738,1989,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",154251558.5,,,,,,,,,32878AKDZF...,1998,CURRENT TRANSFERS: DEB,MILLIONS OF US$,-5003700,2019,"Iron or non-alloy steel; bars and rods, n.e.c. in chapter 72, n.e.c. in heading no. 7215",Import,388752.624,360431,Weight in kilograms,360431
,,1.3,,Less:  Property income - to the rest of the world,D.4,2005,100,EC dollar,1993,Western calendar year,107232718,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),400562689,1989,"Transport, storage and communication (ISIC I)",111691162.1,,,,,,,,,32878ALDZF...,1998,"CURRENT ACCOUNT, N.I.E.",MILLIONS OF US$,-81511100,2019,"Iron or non-alloy steel; U, I or H sections, hot-rolled, hot-drawn or extruded, of a height of less than 80mm",Import,20599.261,4730,Weight in kilograms,4730
,,1.3,,"Sum of Compensation of employees and property income - from and to the rest of the world, net",D.1+D.4,2005,100,EC dollar,1993,Western calendar year,-76361778,,,,,,,General government final consumption expenditure,103675049,1989,Other Activities (ISIC J-P),465372191.7,,,,,,,,,32878BADZF...,1998,"CAPITAL ACCOUNT, N.I.E.:  CREDIT",MILLIONS OF US$,30359300,2019,"Iron or non-alloy steel; L sections, hot-rolled, hot-drawn or extruded, of a height of less than 80mm",Import,106.296,61,Weight in kilograms,61
,,1.3,,Plus: Sum of Compensation of employees and property income - from the rest of the world,D.1+D.4,2005,100,EC dollar,1993,Western calendar year,30870940,,,,,,,Gross capital formation,231383859,1989,Total Value Added,1047653416,,,,,,,,,32878BBDZF...,1998,CAPITAL ACCOUNT:  DEBIT,MILLIONS OF US$,-1781480,2019,"Iron or non-alloy steel; U sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,29834.076,8860,Weight in kilograms,8860
,,1.3,,Less: Sum of Compensation of employees and property income - to the rest of the world,D.1+D.4,2005,100,EC dollar,1993,Western calendar year,107232718,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),213711976,1988,"Agriculture, hunting, forestry, fishing (ISIC A-B)",127386065.4,,,,,,,,,32878BCDZF...,1998,"CAPITAL ACCOUNT, N.I.E.",MILLIONS OF US$,28577800,2019,"Iron or non-alloy steel; I sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,21664.446,5055,Weight in kilograms,5055
,,1.3,,Equals: GROSS NATIONAL INCOME,B.5*g,2005,100,EC dollar,1993,Western calendar year,1801140000,,,,,,,Changes in inventories,17671883,1988,"Mining, Manufacturing, Utilities (ISIC C-E)",73607174.81,,,,,,,,,32878BDDZF...,1998,DIRECT INVESTMENT ABROAD,MILLIONS OF US$,0,2019,"Iron or non-alloy steel; H sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,42561.485,10211.723,Weight in kilograms,10211.723
,,1.3,,"Plus: Current transfers - from and to the rest of the world, net",D5+D61+D62,2005,100,EC dollar,1993,Western calendar year,222231828,,,,,,,Exports of goods and services,217953228,1988,Manufacturing (ISIC D),44656937.48,,,,,,,,,32878BEDZF...,1998,"DIR. INVEST. IN REP. ECON., N.I.E.",MILLIONS OF US$,48685200,2019,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, hot-rolled, hot-drawn or extruded",Import,255405.206,93336,Weight in kilograms,93336
,,1.3,,Plus:  Current transfers - from the rest of the world,D.5-D.7,2005,100,EC dollar,1993,Western calendar year,236501438,,,,,,,Imports of goods and services,374643927,1988,Construction (ISIC F),100218694.5,,,,,,,,,32878BFDZF...,1998,PORTFOLIO INVESTMENT ASSETS,MILLIONS OF US$,40000,2019,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, obtained from flat-rolled products",Import,6015.186,2389,Weight in kilograms,2389
,,1.3,,Less:  Current transfers - to the rest of the world,D.5-D.7,2005,100,EC dollar,1993,Western calendar year,14269610,,,,,,,Gross Domestic Product (GDP),578930899,1988,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",145282286.3,,,,,,,,,32878BGDZF...,1998,"PORTFOLIO INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,-11000,2019,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, (not obtained from flat-rolled products)",Import,308.148,25,Weight in kilograms,25
,,1.3,,Equals: GROSS NATIONAL DISPOSABLE INCOME,B.6g,2005,100,EC dollar,1993,Western calendar year,2023370000,,,,,,,Final consumption expenditure,474548974,1988,"Transport, storage and communication (ISIC I)",96568757.58,,,,,,,,,32878BHDZF...,1998,OTHER INVESTMENT ASSETS,MILLIONS OF US$,22270000,2019,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",Import,91426.674,92198,Weight in kilograms,92198
,,1.3,,Less:  Final consumption expenditure / Actual final consumption,P.3/P.4,2005,100,EC dollar,1993,Western calendar year,1676090000,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),377000178,1988,Other Activities (ISIC J-P),456207032.4,,,,,,,,,32878BIDZF...,1998,"OTHER INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,-15220000,2019,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216",Import,21700.002,9426,Weight in kilograms,9426
